TRACK,LABEL,METHOD,CURVE
1,feature.Area.og1.IDF_FD_M,,0
1,feature.Area.og1.total,,0
1,feature.Area.og2.IDF_FD_M,,1
1,feature.Area.og2.total,,1
1,feature.Area.unmanaged,,2
1,feature.Yield.unmanaged.Total,,3
2,feature.Area.managed,,2
2,feature.Area.og1.IDF_FD_M,,0
2,feature.Area.og1.total,,0
2,feature.Area.og2.IDF_FD_M,,1
2,feature.Area.og2.total,,1
2,feature.Yield.managed.Total,,4
3,feature.Area.managed,,2
3,feature.Area.og1.IDF_FD_M,,0
3,feature.Area.og1.total,,0
3,feature.Area.og2.IDF_FD_M,,1
3,feature.Area.og2.total,,1
3,feature.Yield.managed.Total,,4
4,feature.Area.og1.IDF_FD_H,,7
4,feature.Area.og1.total,,7
4,feature.Area.og2.IDF_FD_H,,8
4,feature.Area.og2.total,,8
4,feature.Area.unmanaged,,9
4,feature.Yield.unmanaged.Total,,10
5,feature.Area.og1.IDF_FDI_H,,11
5,feature.Area.og1.total,,11
5,feature.Area.og2.IDF_FDI_H,,1
5,feature.Area.og2.total,,1
5,feature.Area.unmanaged,,2
5,feature.Yield.unmanaged.Total,,12
6,feature.Area.og1.IDF_PL_H,,13
6,feature.Area.og1.total,,13
6,feature.Area.og2.IDF_PL_H,,1
6,feature.Area.og2.total,,1
6,feature.Area.unmanaged,,2
6,feature.Yield.unmanaged.Total,,14
7,feature.Area.managed,,2
7,feature.Area.og1.IDF_PL_H,,13
7,feature.Area.og1.total,,13
7,feature.Area.og2.IDF_PL_H,,1
7,feature.Area.og2.total,,1
7,feature.Yield.managed.Total,,15
8,feature.Area.managed,,2
8,feature.Area.og1.IDF_PL_H,,13
8,feature.Area.og1.total,,13
8,feature.Area.og2.IDF_PL_H,,1
8,feature.Area.og2.total,,1
8,feature.Yield.managed.Total,,15
9,feature.Area.og1.IDF_PL_M,,18
9,feature.Area.og1.total,,18
9,feature.Area.og2.IDF_PL_M,,1
9,feature.Area.og2.total,,1
9,feature.Area.unmanaged,,2
9,feature.Yield.unmanaged.Total,,19
10,feature.Area.managed,,2
10,feature.Area.og1.IDF_PL_M,,18
10,feature.Area.og1.total,,18
10,feature.Area.og2.IDF_PL_M,,1
10,feature.Area.og2.total,,1
10,feature.Yield.managed.Total,,20
11,feature.Area.managed,,2
11,feature.Area.og1.IDF_PL_M,,18
11,feature.Area.og1.total,,18
11,feature.Area.og2.IDF_PL_M,,1
11,feature.Area.og2.total,,1
11,feature.Yield.managed.Total,,20
12,feature.Area.og1.SBPS_PLI_H,,23
12,feature.Area.og1.total,,23
12,feature.Area.og2.SBPS_PLI_H,,1
12,feature.Area.og2.total,,1
12,feature.Area.unmanaged,,2
12,feature.Yield.unmanaged.Total,,24
13,feature.Area.managed,,2
13,feature.Area.og1.SBPS_PLI_H,,23
13,feature.Area.og1.total,,23
13,feature.Area.og2.SBPS_PLI_H,,1
13,feature.Area.og2.total,,1
13,feature.Yield.managed.Total,,25
14,feature.Area.og1.IDF_PLI_H,,27
14,feature.Area.og1.total,,27
14,feature.Area.og2.IDF_PLI_H,,1
14,feature.Area.og2.total,,1
14,feature.Area.unmanaged,,2
14,feature.Yield.unmanaged.Total,,28
15,feature.Area.managed,,2
15,feature.Area.og1.IDF_PLI_H,,27
15,feature.Area.og1.total,,27
15,feature.Area.og2.IDF_PLI_H,,1
15,feature.Area.og2.total,,1
15,feature.Yield.managed.Total,,29
16,feature.Area.og1.IDF_FD_H,,31
16,feature.Area.og1.total,,31
16,feature.Area.og2.IDF_FD_H,,1
16,feature.Area.og2.total,,1
16,feature.Area.unmanaged,,2
16,feature.Yield.unmanaged.Total,,32
17,feature.Area.managed,,2
17,feature.Area.og1.IDF_FD_H,,31
17,feature.Area.og1.total,,31
17,feature.Area.og2.IDF_FD_H,,1
17,feature.Area.og2.total,,1
17,feature.Yield.managed.Total,,33
18,feature.Area.managed,,2
18,feature.Area.og1.IDF_FD_H,,31
18,feature.Area.og1.total,,31
18,feature.Area.og2.IDF_FD_H,,1
18,feature.Area.og2.total,,1
18,feature.Yield.managed.Total,,33
19,feature.Area.og1.IDF_PL_M,,18
19,feature.Area.og1.total,,18
19,feature.Area.og2.IDF_PL_M,,1
19,feature.Area.og2.total,,1
19,feature.Area.unmanaged,,2
19,feature.Yield.unmanaged.Total,,19
20,feature.Area.og1.IDF_FD_M,,35
20,feature.Area.og1.total,,35
20,feature.Area.og2.IDF_FD_M,,8
20,feature.Area.og2.total,,8
20,feature.Area.unmanaged,,9
20,feature.Yield.unmanaged.Total,,36
21,feature.Area.og1.IDF_PL_L,,37
21,feature.Area.og1.total,,37
21,feature.Area.og2.IDF_PL_L,,1
21,feature.Area.og2.total,,1
21,feature.Area.unmanaged,,2
21,feature.Yield.unmanaged.Total,,38
22,feature.Area.managed,,2
22,feature.Area.og1.IDF_PL_L,,37
22,feature.Area.og1.total,,37
22,feature.Area.og2.IDF_PL_L,,1
22,feature.Area.og2.total,,1
22,feature.Yield.managed.Total,,39
23,feature.Area.managed,,2
23,feature.Area.og1.IDF_PL_L,,37
23,feature.Area.og1.total,,37
23,feature.Area.og2.IDF_PL_L,,1
23,feature.Area.og2.total,,1
23,feature.Yield.managed.Total,,39
24,feature.Area.og1.IDF_PLI_H,,27
24,feature.Area.og1.total,,27
24,feature.Area.og2.IDF_PLI_H,,1
24,feature.Area.og2.total,,1
24,feature.Area.unmanaged,,2
24,feature.Yield.unmanaged.Total,,28
25,feature.Area.managed,,2
25,feature.Area.og1.IDF_PLI_H,,27
25,feature.Area.og1.total,,27
25,feature.Area.og2.IDF_PLI_H,,1
25,feature.Area.og2.total,,1
25,feature.Yield.managed.Total,,29
26,feature.Area.og1.IDF_FD_L,,18
26,feature.Area.og1.total,,18
26,feature.Area.og2.IDF_FD_L,,1
