TRACK,STRATA
1,1.0 x 0+treatment()+AU(2902005)+IFM(managed)
2,1.0 x 0+treatment()+AU(2903002)+IFM(managed)
3,1.0 x 0+treatment()+AU(2901005)+IFM(managed)
4,1.0 x 0+treatment()+AU(2901008)+IFM(managed)
5,1.0 x 0+treatment()+AU(2903000)+IFM(managed)
6,1.0 x 0+treatment()+AU(2901009)+IFM(managed)
7,1.0 x 0+treatment()+AU(2901000)+IFM(managed)
8,1.0 x 0+treatment()+AU(2902000)+IFM(managed)
9,1.0 x 0+treatment()+AU(2901003)+IFM(managed)
10,1.0 x 0+treatment()+AU(2902002)+IFM(managed)
11,1.0 x 0+treatment()+AU(2902008)+IFM(managed)
12,1.0 x 0+treatment()+AU(2903005)+IFM(managed)
13,1.0 x 0+treatment()+AU(2903001)+IFM(managed)
14,1.0 x 0+treatment()+AU(2901002)+IFM(managed)
15,1.0 x 0+treatment()+AU(2902003)+IFM(managed)
16,1.0 x 0+treatment()+AU(2903008)+IFM(managed)
17,1.0 x 0+treatment()+AU(2903006)+IFM(managed)
18,1.0 x 0+treatment()+AU(2901001)+IFM(managed)
19,1.0 x 0+treatment()+AU(2902009)+IFM(managed)
20,1.0 x 0+treatment()+AU(2902004)+IFM(managed)
21,1.0 x 0+treatment()+AU(2903003)+IFM(managed)
22,1.0 x 0+treatment()+AU(2902007)+IFM(managed)
23,1.0 x 0+treatment()+AU(2902006)+IFM(managed)
24,1.0 x 0+treatment()+AU(2902001)+IFM(managed)
25,1.0 x 0+treatment()+AU(2903007)+IFM(managed)
26,1.0 x 0+treatment()+AU(2903009)+IFM(managed)
27,1.0 x 0+treatment()+AU(2901004)+IFM(managed)
28,1.0 x 0+treatment()+AU(2903004)+IFM(managed)
29,1.0 x 0+treatment()+AU(2901006)+IFM(managed)
30,1.0 x 0+treatment()+AU(2901007)+IFM(managed)
