TRACK,BEGIN,END,TREATMENT,MANUAL,NEWTRACK,ADJUST,OFFSET,RETAIN,CURVE,CYCLE,ELIGIBILITY
1,120,847,CC,false,1,A,0,0,,0,
2,70,847,CC,false,2,A,0,0,,0,
3,170,847,CC,false,3,A,0,0,,0,
4,130,847,CC,false,4,A,0,0,,0,
5,100,847,CC,false,5,A,0,0,,0,
6,170,847,CC,false,6,A,0,0,,0,
7,140,847,CC,false,7,A,0,0,,0,
8,130,847,CC,false,8,A,0,0,,0,
9,130,847,CC,false,9,A,0,0,,0,
10,100,847,CC,false,10,A,0,0,,0,
11,110,847,CC,false,11,A,0,0,,0,
12,90,847,CC,false,12,A,0,0,,0,
13,120,847,CC,false,13,A,0,0,,0,
14,120,847,CC,false,14,A,0,0,,0,
15,100,847,CC,false,15,A,0,0,,0,
16,80,847,CC,false,16,A,0,0,,0,
17,120,847,CC,false,17,A,0,0,,0,
18,150,847,CC,false,18,A,0,0,,0,
19,120,847,CC,false,19,A,0,0,,0,
20,130,847,CC,false,20,A,0,0,,0,
21,70,847,CC,false,21,A,0,0,,0,
22,140,847,CC,false,22,A,0,0,,0,
23,160,847,CC,false,23,A,0,0,,0,
24,130,847,CC,false,24,A,0,0,,0,
25,110,847,CC,false,25,A,0,0,,0,
26,80,847,CC,false,26,A,0,0,,0,
27,180,847,CC,false,27,A,0,0,,0,
28,110,847,CC,false,28,A,0,0,,0,
29,200,847,CC,false,29,A,0,0,,0,
30,170,847,CC,false,30,A,0,0,,0,
