tsa,au_id,stratum_code,si_level,ifm,curve_id,age,volume
29,2901000,SBPS_PLI,L,unmanaged,2901000,1,0.0
29,2901000,SBPS_PLI,L,unmanaged,2901000,10,0.0
29,2901000,SBPS_PLI,L,unmanaged,2901000,20,0.03
29,2901000,SBPS_PLI,L,unmanaged,2901000,30,0.16
29,2901000,SBPS_PLI,L,unmanaged,2901000,40,0.57
29,2901000,SBPS_PLI,L,unmanaged,2901000,50,1.53
29,2901000,SBPS_PLI,L,unmanaged,2901000,60,3.38
29,2901000,SBPS_PLI,L,unmanaged,2901000,70,8.45
29,2901000,SBPS_PLI,L,unmanaged,2901000,80,11.0
29,2901000,SBPS_PLI,L,unmanaged,2901000,90,19.78
29,2901000,SBPS_PLI,L,unmanaged,2901000,100,27.86
29,2901000,SBPS_PLI,L,unmanaged,2901000,110,35.87
29,2901000,SBPS_PLI,L,unmanaged,2901000,120,43.5
29,2901000,SBPS_PLI,L,unmanaged,2901000,130,50.6
29,2901000,SBPS_PLI,L,unmanaged,2901000,140,57.21
29,2901000,SBPS_PLI,L,unmanaged,2901000,150,63.27
29,2901000,SBPS_PLI,L,unmanaged,2901000,160,68.58
29,2901000,SBPS_PLI,L,unmanaged,2901000,170,73.03
29,2901000,SBPS_PLI,L,unmanaged,2901000,180,76.51
29,2901000,SBPS_PLI,L,unmanaged,2901000,190,78.92
29,2901000,SBPS_PLI,L,unmanaged,2901000,200,80.25
29,2901000,SBPS_PLI,L,unmanaged,2901000,210,80.78
29,2901000,SBPS_PLI,L,unmanaged,2901000,220,80.85
29,2901000,SBPS_PLI,L,unmanaged,2901000,230,80.75
29,2901000,SBPS_PLI,L,unmanaged,2901000,240,80.57
29,2901000,SBPS_PLI,L,unmanaged,2901000,250,80.36
29,2901000,SBPS_PLI,L,unmanaged,2901000,260,80.12
29,2901000,SBPS_PLI,L,unmanaged,2901000,270,79.87
29,2901000,SBPS_PLI,L,unmanaged,2901000,280,79.62
29,2901000,SBPS_PLI,L,unmanaged,2901000,290,79.3
29,2901000,SBPS_PLI,L,unmanaged,2901000,299,79.79
29,2901000,SBPS_PLI,L,managed,2921000,0,0.0
29,2901000,SBPS_PLI,L,managed,2921000,10,0.0
29,2901000,SBPS_PLI,L,managed,2921000,20,0.0
29,2901000,SBPS_PLI,L,managed,2921000,30,0.0
29,2901000,SBPS_PLI,L,managed,2921000,40,0.0
29,2901000,SBPS_PLI,L,managed,2921000,50,0.0
29,2901000,SBPS_PLI,L,managed,2921000,60,0.2
29,2901000,SBPS_PLI,L,managed,2921000,70,0.9
29,2901000,SBPS_PLI,L,managed,2921000,80,3.6
29,2901000,SBPS_PLI,L,managed,2921000,90,8.1
29,2901000,SBPS_PLI,L,managed,2921000,100,15.0
29,2901000,SBPS_PLI,L,managed,2921000,110,22.0
29,2901000,SBPS_PLI,L,managed,2921000,120,28.9
29,2901000,SBPS_PLI,L,managed,2921000,130,36.3
29,2901000,SBPS_PLI,L,managed,2921000,140,41.9
29,2901000,SBPS_PLI,L,managed,2921000,150,46.7
29,2901000,SBPS_PLI,L,managed,2921000,160,51.2
29,2901000,SBPS_PLI,L,managed,2921000,170,55.3
29,2901000,SBPS_PLI,L,managed,2921000,180,59.1
29,2901000,SBPS_PLI,L,managed,2921000,190,62.3
29,2901000,SBPS_PLI,L,managed,2921000,200,65.1
29,2901000,SBPS_PLI,L,managed,2921000,210,67.4
29,2901000,SBPS_PLI,L,managed,2921000,220,69.3
29,2901000,SBPS_PLI,L,managed,2921000,230,70.9
29,2901000,SBPS_PLI,L,managed,2921000,240,72.3
29,2901000,SBPS_PLI,L,managed,2921000,250,73.4
29,2901000,SBPS_PLI,L,managed,2921000,260,74.2
29,2901000,SBPS_PLI,L,managed,2921000,270,74.9
29,2901000,SBPS_PLI,L,managed,2921000,280,75.5
29,2901000,SBPS_PLI,L,managed,2921000,290,75.8
29,2901000,SBPS_PLI,L,managed,2921000,300,76.1
29,2901000,SBPS_PLI,L,managed,2921000,310,76.3
29,2901000,SBPS_PLI,L,managed,2921000,320,76.4
29,2901000,SBPS_PLI,L,managed,2921000,330,76.4
29,2901000,SBPS_PLI,L,managed,2921000,340,76.3
29,2901000,SBPS_PLI,L,managed,2921000,350,76.2
29,2901001,MS_PLI,L,unmanaged,2901001,1,0.0
29,2901001,MS_PLI,L,unmanaged,2901001,10,0.0
29,2901001,MS_PLI,L,unmanaged,2901001,20,0.0
29,2901001,MS_PLI,L,unmanaged,2901001,30,0.02
29,2901001,MS_PLI,L,unmanaged,2901001,40,0.11
29,2901001,MS_PLI,L,unmanaged,2901001,50,0.45
29,2901001,MS_PLI,L,unmanaged,2901001,60,0.85
29,2901001,MS_PLI,L,unmanaged,2901001,70,3.35
29,2901001,MS_PLI,L,unmanaged,2901001,80,8.96
29,2901001,MS_PLI,L,unmanaged,2901001,90,14.81
29,2901001,MS_PLI,L,unmanaged,2901001,100,21.62
29,2901001,MS_PLI,L,unmanaged,2901001,110,29.38
29,2901001,MS_PLI,L,unmanaged,2901001,120,37.81
29,2901001,MS_PLI,L,unmanaged,2901001,130,46.45
29,2901001,MS_PLI,L,unmanaged,2901001,140,54.81
29,2901001,MS_PLI,L,unmanaged,2901001,150,62.29
29,2901001,MS_PLI,L,unmanaged,2901001,160,68.32
29,2901001,MS_PLI,L,unmanaged,2901001,170,72.66
29,2901001,MS_PLI,L,unmanaged,2901001,180,75.54
29,2901001,MS_PLI,L,unmanaged,2901001,190,77.39
29,2901001,MS_PLI,L,unmanaged,2901001,200,78.59
29,2901001,MS_PLI,L,unmanaged,2901001,210,79.33
29,2901001,MS_PLI,L,unmanaged,2901001,220,79.75
29,2901001,MS_PLI,L,unmanaged,2901001,230,79.94
29,2901001,MS_PLI,L,unmanaged,2901001,240,79.97
29,2901001,MS_PLI,L,unmanaged,2901001,250,79.89
29,2901001,MS_PLI,L,unmanaged,2901001,260,79.75
29,2901001,MS_PLI,L,unmanaged,2901001,270,79.58
29,2901001,MS_PLI,L,unmanaged,2901001,280,79.39
29,2901001,MS_PLI,L,unmanaged,2901001,290,79.2
29,2901001,MS_PLI,L,unmanaged,2901001,299,79.02
29,2901001,MS_PLI,L,managed,2921001,0,0.0
29,2901001,MS_PLI,L,managed,2921001,10,0.0
29,2901001,MS_PLI,L,managed,2921001,20,0.0
29,2901001,MS_PLI,L,managed,2921001,30,0.0
29,2901001,MS_PLI,L,managed,2921001,40,0.0
29,2901001,MS_PLI,L,managed,2921001,50,0.0
29,2901001,MS_PLI,L,managed,2921001,60,0.1
29,2901001,MS_PLI,L,managed,2921001,70,1.6
29,2901001,MS_PLI,L,managed,2921001,80,4.9
29,2901001,MS_PLI,L,managed,2921001,90,13.4
29,2901001,MS_PLI,L,managed,2921001,100,22.2
29,2901001,MS_PLI,L,managed,2921001,110,31.7
29,2901001,MS_PLI,L,managed,2921001,120,41.6
29,2901001,MS_PLI,L,managed,2921001,130,50.6
29,2901001,MS_PLI,L,managed,2921001,140,58.2
29,2901001,MS_PLI,L,managed,2921001,150,65.6
29,2901001,MS_PLI,L,managed,2921001,160,72.3
29,2901001,MS_PLI,L,managed,2921001,170,78.3
29,2901001,MS_PLI,L,managed,2921001,180,83.5
29,2901001,MS_PLI,L,managed,2921001,190,88.1
29,2901001,MS_PLI,L,managed,2921001,200,92.1
29,2901001,MS_PLI,L,managed,2921001,210,95.5
29,2901001,MS_PLI,L,managed,2921001,220,98.5
29,2901001,MS_PLI,L,managed,2921001,230,101.0
29,2901001,MS_PLI,L,managed,2921001,240,103.2
29,2901001,MS_PLI,L,managed,2921001,250,105.2
29,2901001,MS_PLI,L,managed,2921001,260,106.9
29,2901001,MS_PLI,L,managed,2921001,270,108.3
29,2901001,MS_PLI,L,managed,2921001,280,109.6
29,2901001,MS_PLI,L,managed,2921001,290,110.6
29,2901001,MS_PLI,L,managed,2921001,300,111.4
29,2901001,MS_PLI,L,managed,2921001,310,112.1
29,2901001,MS_PLI,L,managed,2921001,320,112.7
29,2901001,MS_PLI,L,managed,2921001,330,113.1
29,2901001,MS_PLI,L,managed,2921001,340,113.4
29,2901001,MS_PLI,L,managed,2921001,350,113.6
29,2901002,IDF_FD,L,unmanaged,2901002,1,0.0
29,2901002,IDF_FD,L,unmanaged,2901002,10,0.02
29,2901002,IDF_FD,L,unmanaged,2901002,20,0.34
29,2901002,IDF_FD,L,unmanaged,2901002,30,1.73
29,2901002,IDF_FD,L,unmanaged,2901002,40,4.98
29,2901002,IDF_FD,L,unmanaged,2901002,50,10.48
29,2901002,IDF_FD,L,unmanaged,2901002,60,19.61
29,2901002,IDF_FD,L,unmanaged,2901002,70,27.4
29,2901002,IDF_FD,L,unmanaged,2901002,80,36.85
29,2901002,IDF_FD,L,unmanaged,2901002,90,46.84
29,2901002,IDF_FD,L,unmanaged,2901002,100,57.1
29,2901002,IDF_FD,L,unmanaged,2901002,110,67.11
29,2901002,IDF_FD,L,unmanaged,2901002,120,76.13
29,2901002,IDF_FD,L,unmanaged,2901002,130,83.52
29,2901002,IDF_FD,L,unmanaged,2901002,140,89.03
29,2901002,IDF_FD,L,unmanaged,2901002,150,92.79
29,2901002,IDF_FD,L,unmanaged,2901002,160,95.17
29,2901002,IDF_FD,L,unmanaged,2901002,170,96.67
29,2901002,IDF_FD,L,unmanaged,2901002,180,98.0
29,2901002,IDF_FD,L,unmanaged,2901002,190,99.63
29,2901002,IDF_FD,L,unmanaged,2901002,200,101.34
29,2901002,IDF_FD,L,unmanaged,2901002,210,102.49
29,2901002,IDF_FD,L,unmanaged,2901002,220,102.68
29,2901002,IDF_FD,L,unmanaged,2901002,230,102.14
29,2901002,IDF_FD,L,unmanaged,2901002,240,101.31
29,2901002,IDF_FD,L,unmanaged,2901002,250,100.49
